OMRÅDE,KØN,ALDER,HERKOMST,TID,INDHOLD
All Denmark,Total,40 years,Immigrants from non-western countries,2008Q1,5850
All Denmark,Total,41 years,Immigrants from non-western countries,2008Q1,5941
All Denmark,Total,42 years,Immigrants from non-western countries,2008Q1,5986
All Denmark,Total,43 years,Immigrants from non-western countries,2008Q1,5956
All Denmark,Total,44 years,Immigrants from non-western countries,2008Q1,5524
All Denmark,Total,45 years,Immigrants from non-western countries,2008Q1,5385
All Denmark,Total,46 years,Immigrants from non-western countries,2008Q1,4798
All Denmark,Total,47 years,Immigrants from non-western countries,2008Q1,5002
All Denmark,Total,48 years,Immigrants from non-western countries,2008Q1,4194
All Denmark,Total,49 years,Immigrants from non-western countries,2008Q1,3953
All Denmark,Total,5 years,Immigrants from non-western countries,2008Q1,396
All Denmark,Total,50 years,Immigrants from non-western countries,2008Q1,3589
All Denmark,Total,51 years,Immigrants from non-western countries,2008Q1,3552
All Denmark,Total,52 years,Immigrants from non-western countries,2008Q1,3278
All Denmark,Total,53 years,Immigrants from non-western countries,2008Q1,2935
All Denmark,Total,54 years,Immigrants from non-western countries,2008Q1,2670
All Denmark,Total,55 years,Immigrants from non-western countries,2008Q1,2520
All Denmark,Total,56 years,Immigrants from non-western countries,2008Q1,2098
All Denmark,Total,57 years,Immigrants from non-western countries,2008Q1,2203
All Denmark,Total,58 years,Immigrants from non-western countries,2008Q1,2015
All Denmark,Total,59 years,Immigrants from non-western countries,2008Q1,1905
All Denmark,Total,6 years,Immigrants from non-western countries,2008Q1,447
All Denmark,Total,60 years,Immigrants from non-western countries,2008Q1,1821
All Denmark,Total,61 years,Immigrants from non-western countries,2008Q1,1655
All Denmark,Total,62 years,Immigrants from non-western countries,2008Q1,1547
All Denmark,Total,63 years,Immigrants from non-western countries,2008Q1,1378
All Denmark,Total,64 years,Immigrants from non-western countries,2008Q1,1258
All Denmark,Total,65 years,Immigrants from non-western countries,2008Q1,1172
All Denmark,Total,66 years,Immigrants from non-western countries,2008Q1,1085
All Denmark,Total,67 years,Immigrants from non-western countries,2008Q1,1102
All Denmark,Total,68 years,Immigrants from non-western countries,2008Q1,969
All Denmark,Total,69 years,Immigrants from non-western countries,2008Q1,876
All Denmark,Total,7 years,Immigrants from non-western countries,2008Q1,685
All Denmark,Total,70 years,Immigrants from non-western countries,2008Q1,786
All Denmark,Total,71 years,Immigrants from non-western countries,2008Q1,715
All Denmark,Total,72 years,Immigrants from non-western countries,2008Q1,715
All Denmark,Total,73 years,Immigrants from non-western countries,2008Q1,583
All Denmark,Total,74 years,Immigrants from non-western countries,2008Q1,572
All Denmark,Total,75 years,Immigrants from non-western countries,2008Q1,569
All Denmark,Total,76 years,Immigrants from non-western countries,2008Q1,488
All Denmark,Total,77 years,Immigrants from non-western countries,2008Q1,537
All Denmark,Total,78 years,Immigrants from non-western countries,2008Q1,392
All Denmark,Total,79 years,Immigrants from non-western countries,2008Q1,361
All Denmark,Total,8 years,Immigrants from non-western countries,2008Q1,883
All Denmark,Total,80 years,Immigrants from non-western countries,2008Q1,326
All Denmark,Total,81 years,Immigrants from non-western countries,2008Q1,230
All Denmark,Total,82 years,Immigrants from non-western countries,2008Q1,252
All Denmark,Total,83 years,Immigrants from non-western countries,2008Q1,179
All Denmark,Total,84 years,Immigrants from non-western countries,2008Q1,152
All Denmark,Total,85 years,Immigrants from non-western countries,2008Q1,129
All Denmark,Total,86 years,Immigrants from non-western countries,2008Q1,108
All Denmark,Total,87 years,Immigrants from non-western countries,2008Q1,98
All Denmark,Total,88 years,Immigrants from non-western countries,2008Q1,53
All Denmark,Total,89 years,Immigrants from non-western countries,2008Q1,43
All Denmark,Total,9 years,Immigrants from non-western countries,2008Q1,1189
All Denmark,Total,90 years,Immigrants from non-western countries,2008Q1,40
All Denmark,Total,91 years,Immigrants from non-western countries,2008Q1,28
All Denmark,Total,92 years,Immigrants from non-western countries,2008Q1,31
All Denmark,Total,93 years,Immigrants from non-western countries,2008Q1,26
All Denmark,Total,94 years,Immigrants from non-western countries,2008Q1,18
All Denmark,Total,95 years,Immigrants from non-western countries,2008Q1,14
All Denmark,Total,96 years,Immigrants from non-western countries,2008Q1,8
All Denmark,Total,97 years,Immigrants from non-western countries,2008Q1,7
All Denmark,Total,98 years,Immigrants from non-western countries,2008Q1,2
All Denmark,Total,99 years,Immigrants from non-western countries,2008Q1,2
All Denmark,Total,"Age, total",Immigrants from non-western countries,2008Q1,237027
All Denmark,Total,0 years,Immigrants from non-western countries,2009Q1,125
All Denmark,Total,1 year,Immigrants from non-western countries,2009Q1,298
All Denmark,Total,10 years,Immigrants from non-western countries,2009Q1,1274
All Denmark,Total,100 years,Immigrants from non-western countries,2009Q1,1
All Denmark,Total,101 years,Immigrants from non-western countries,2009Q1,1
All Denmark,Total,11 years,Immigrants from non-western countries,2009Q1,1495
All Denmark,Total,12 years,Immigrants from non-western countries,2009Q1,1707
All Denmark,Total,13 years,Immigrants from non-western countries,2009Q1,1804
All Denmark,Total,14 years,Immigrants from non-western countries,2009Q1,2026
All Denmark,Total,15 years,Immigrants from non-western countries,2009Q1,2045
All Denmark,Total,16 years,Immigrants from non-western countries,2009Q1,2472
All Denmark,Total,17 years,Immigrants from non-western countries,2009Q1,2731
All Denmark,Total,18 years,Immigrants from non-western countries,2009Q1,3200
All Denmark,Total,19 years,Immigrants from non-western countries,2009Q1,3443
All Denmark,Total,2 years,Immigrants from non-western countries,2009Q1,405
All Denmark,Total,20 years,Immigrants from non-western countries,2009Q1,3990
All Denmark,Total,21 years,Immigrants from non-western countries,2009Q1,4612
All Denmark,Total,22 years,Immigrants from non-western countries,2009Q1,4977
All Denmark,Total,23 years,Immigrants from non-western countries,2009Q1,5268
All Denmark,Total,24 years,Immigrants from non-western countries,2009Q1,5536
All Denmark,Total,25 years,Immigrants from non-western countries,2009Q1,5634
All Denmark,Total,26 years,Immigrants from non-western countries,2009Q1,5830
All Denmark,Total,27 years,Immigrants from non-western countries,2009Q1,5763
All Denmark,Total,28 years,Immigrants from non-western countries,2009Q1,5878
All Denmark,Total,29 years,Immigrants from non-western countries,2009Q1,5704
All Denmark,Total,3 years,Immigrants from non-western countries,2009Q1,422
All Denmark,Total,30 years,Immigrants from non-western countries,2009Q1,5888
All Denmark,Total,31 years,Immigrants from non-western countries,2009Q1,5743
All Denmark,Total,32 years,Immigrants from non-western countries,2009Q1,5776
All Denmark,Total,33 years,Immigrants from non-western countries,2009Q1,5755
All Denmark,Total,34 years,Immigrants from non-western countries,2009Q1,6028
All Denmark,Total,35 years,Immigrants from non-western countries,2009Q1,5903
All Denmark,Total,36 years,Immigrants from non-western countries,2009Q1,5978
All Denmark,Total,37 years,Immigrants from non-western countries,2009Q1,5624
All Denmark,Total,38 years,Immigrants from non-western countries,2009Q1,6490
All Denmark,Total,39 years,Immigrants from non-western countries,2009Q1,6318
All Denmark,Total,4 years,Immigrants from non-western countries,2009Q1,410
All Denmark,Total,40 years,Immigrants from non-western countries,2009Q1,6322
All Denmark,Total,41 years,Immigrants from non-western countries,2009Q1,5900
All Denmark,Total,42 years,Immigrants from non-western countries,2009Q1,5998
All Denmark,Total,43 years,Immigrants from non-western countries,2009Q1,6011
All Denmark,Total,44 years,Immigrants from non-western countries,2009Q1,6004
All Denmark,Total,45 years,Immigrants from non-western countries,2009Q1,5529
All Denmark,Total,46 years,Immigrants from non-western countries,2009Q1,5410
All Denmark,Total,47 years,Immigrants from non-western countries,2009Q1,4782
All Denmark,Total,48 years,Immigrants from non-western countries,2009Q1,4995
All Denmark,Total,49 years,Immigrants from non-western countries,2009Q1,4201
All Denmark,Total,5 years,Immigrants from non-western countries,2009Q1,415
All Denmark,Total,50 years,Immigrants from non-western countries,2009Q1,3954
All Denmark,Total,51 years,Immigrants from non-western countries,2009Q1,3601
All Denmark,Total,52 years,Immigrants from non-western countries,2009Q1,3573
All Denmark,Total,53 years,Immigrants from non-western countries,2009Q1,3269
All Denmark,Total,54 years,Immigrants from non-western countries,2009Q1,2927
All Denmark,Total,55 years,Immigrants from non-western countries,2009Q1,2662
All Denmark,Total,56 years,Immigrants from non-western countries,2009Q1,2520
All Denmark,Total,57 years,Immigrants from non-western countries,2009Q1,2093
All Denmark,Total,58 years,Immigrants from non-western countries,2009Q1,2185
All Denmark,Total,59 years,Immigrants from non-western countries,2009Q1,2009
All Denmark,Total,6 years,Immigrants from non-western countries,2009Q1,455
All Denmark,Total,60 years,Immigrants from non-western countries,2009Q1,1900
All Denmark,Total,61 years,Immigrants from non-western countries,2009Q1,1813
All Denmark,Total,62 years,Immigrants from non-western countries,2009Q1,1632
All Denmark,Total,63 years,Immigrants from non-western countries,2009Q1,1536
All Denmark,Total,64 years,Immigrants from non-western countries,2009Q1,1365
All Denmark,Total,65 years,Immigrants from non-western countries,2009Q1,1250
All Denmark,Total,66 years,Immigrants from non-western countries,2009Q1,1170
All Denmark,Total,67 years,Immigrants from non-western countries,2009Q1,1061
All Denmark,Total,68 years,Immigrants from non-western countries,2009Q1,1073
All Denmark,Total,69 years,Immigrants from non-western countries,2009Q1,949
All Denmark,Total,7 years,Immigrants from non-western countries,2009Q1,520
All Denmark,Total,70 years,Immigrants from non-western countries,2009Q1,858
All Denmark,Total,71 years,Immigrants from non-western countries,2009Q1,777
All Denmark,Total,72 years,Immigrants from non-western countries,2009Q1,700
All Denmark,Total,73 years,Immigrants from non-western countries,2009Q1,708
All Denmark,Total,74 years,Immigrants from non-western countries,2009Q1,566
All Denmark,Total,75 years,Immigrants from non-western countries,2009Q1,562
All Denmark,Total,76 years,Immigrants from non-western countries,2009Q1,547
All Denmark,Total,77 years,Immigrants from non-western countries,2009Q1,476
All Denmark,Total,78 years,Immigrants from non-western countries,2009Q1,507
All Denmark,Total,79 years,Immigrants from non-western countries,2009Q1,368
All Denmark,Total,8 years,Immigrants from non-western countries,2009Q1,749
All Denmark,Total,80 years,Immigrants from non-western countries,2009Q1,339
All Denmark,Total,81 years,Immigrants from non-western countries,2009Q1,302
All Denmark,Total,82 years,Immigrants from non-western countries,2009Q1,211
All Denmark,Total,83 years,Immigrants from non-western countries,2009Q1,240
All Denmark,Total,84 years,Immigrants from non-western countries,2009Q1,161
All Denmark,Total,85 years,Immigrants from non-western countries,2009Q1,140
All Denmark,Total,86 years,Immigrants from non-western countries,2009Q1,118
All Denmark,Total,87 years,Immigrants from non-western countries,2009Q1,97
All Denmark,Total,88 years,Immigrants from non-western countries,2009Q1,92
All Denmark,Total,89 years,Immigrants from non-western countries,2009Q1,40
All Denmark,Total,9 years,Immigrants from non-western countries,2009Q1,930
All Denmark,Total,90 years,Immigrants from non-western countries,2009Q1,36
All Denmark,Total,91 years,Immigrants from non-western countries,2009Q1,36
All Denmark,Total,92 years,Immigrants from non-western countries,2009Q1,25
All Denmark,Total,93 years,Immigrants from non-western countries,2009Q1,25
All Denmark,Total,94 years,Immigrants from non-western countries,2009Q1,19
All Denmark,Total,95 years,Immigrants from non-western countries,2009Q1,15
All Denmark,Total,96 years,Immigrants from non-western countries,2009Q1,10
All Denmark,Total,97 years,Immigrants from non-western countries,2009Q1,7
All Denmark,Total,98 years,Immigrants from non-western countries,2009Q1,6
All Denmark,Total,99 years,Immigrants from non-western countries,2009Q1,1
All Denmark,Total,"Age, total",Immigrants from non-western countries,2009Q1,245306
All Denmark,Total,0 years,Immigrants from non-western countries,2010Q1,111
All Denmark,Total,1 year,Immigrants from non-western countries,2010Q1,303
All Denmark,Total,10 years,Immigrants from non-western countries,2010Q1,1013
All Denmark,Total,100 years,Immigrants from non-western countries,2010Q1,1
All Denmark,Total,101 years,Immigrants from non-western countries,2010Q1,1
All Denmark,Total,11 years,Immigrants from non-western countries,2010Q1,1324
All Denmark,Total,12 years,Immigrants from non-western countries,2010Q1,1554
All Denmark,Total,13 years,Immigrants from non-western countries,2010Q1,1739
All Denmark,Total,14 years,Immigrants from non-western countries,2010Q1,1860
All Denmark,Total,15 years,Immigrants from non-western countries,2010Q1,2091
All Denmark,Total,16 years,Immigrants from non-western countries,2010Q1,2132
All Denmark,Total,17 years,Immigrants from non-western countries,2010Q1,2620
All Denmark,Total,18 years,Immigrants from non-western countries,2010Q1,2829
All Denmark,Total,19 years,Immigrants from non-western countries,2010Q1,3344
All Denmark,Total,2 years,Immigrants from non-western countries,2010Q1,426
All Denmark,Total,20 years,Immigrants from non-western countries,2010Q1,3789
All Denmark,Total,21 years,Immigrants from non-western countries,2010Q1,4456
All Denmark,Total,22 years,Immigrants from non-western countries,2010Q1,5025
All Denmark,Total,23 years,Immigrants from non-western countries,2010Q1,5371
All Denmark,Total,24 years,Immigrants from non-western countries,2010Q1,5615
All Denmark,Total,25 years,Immigrants from non-western countries,2010Q1,5961
All Denmark,Total,26 years,Immigrants from non-western countries,2010Q1,6026
All Denmark,Total,27 years,Immigrants from non-western countries,2010Q1,6204
All Denmark,Total,28 years,Immigrants from non-western countries,2010Q1,6159
All Denmark,Total,29 years,Immigrants from non-western countries,2010Q1,6197
All Denmark,Total,3 years,Immigrants from non-western countries,2010Q1,483
All Denmark,Total,30 years,Immigrants from non-western countries,2010Q1,5905
All Denmark,Total,31 years,Immigrants from non-western countries,2010Q1,6068
All Denmark,Total,32 years,Immigrants from non-western countries,2010Q1,5880
All Denmark,Total,33 years,Immigrants from non-western countries,2010Q1,5901
All Denmark,Total,34 years,Immigrants from non-western countries,2010Q1,5897
All Denmark,Total,35 years,Immigrants from non-western countries,2010Q1,6107
All Denmark,Total,36 years,Immigrants from non-western countries,2010Q1,5986
All Denmark,Total,37 years,Immigrants from non-western countries,2010Q1,6029
All Denmark,Total,38 years,Immigrants from non-western countries,2010Q1,5665
All Denmark,Total,39 years,Immigrants from non-western countries,2010Q1,6557
All Denmark,Total,4 years,Immigrants from non-western countries,2010Q1,514
All Denmark,Total,40 years,Immigrants from non-western countries,2010Q1,6355
All Denmark,Total,41 years,Immigrants from non-western countries,2010Q1,6341
All Denmark,Total,42 years,Immigrants from non-western countries,2010Q1,5927
All Denmark,Total,43 years,Immigrants from non-western countries,2010Q1,5996
All Denmark,Total,44 years,Immigrants from non-western countries,2010Q1,6034
All Denmark,Total,45 years,Immigrants from non-western countries,2010Q1,5972
All Denmark,Total,46 years,Immigrants from non-western countries,2010Q1,5528
All Denmark,Total,47 years,Immigrants from non-western countries,2010Q1,5394
All Denmark,Total,48 years,Immigrants from non-western countries,2010Q1,4794
All Denmark,Total,49 years,Immigrants from non-western countries,2010Q1,4982
All Denmark,Total,5 years,Immigrants from non-western countries,2010Q1,486
All Denmark,Total,50 years,Immigrants from non-western countries,2010Q1,4193
All Denmark,Total,51 years,Immigrants from non-western countries,2010Q1,3946
All Denmark,Total,52 years,Immigrants from non-western countries,2010Q1,3586
All Denmark,Total,53 years,Immigrants from non-western countries,2010Q1,3564
All Denmark,Total,54 years,Immigrants from non-western countries,2010Q1,3266
All Denmark,Total,55 years,Immigrants from non-western countries,2010Q1,2914
All Denmark,Total,56 years,Immigrants from non-western countries,2010Q1,2656
All Denmark,Total,57 years,Immigrants from non-western countries,2010Q1,2519
All Denmark,Total,58 years,Immigrants from non-western countries,2010Q1,2084
All Denmark,Total,59 years,Immigrants from non-western countries,2010Q1,2187
All Denmark,Total,6 years,Immigrants from non-western countries,2010Q1,453
All Denmark,Total,60 years,Immigrants from non-western countries,2010Q1,1999
All Denmark,Total,61 years,Immigrants from non-western countries,2010Q1,1879
All Denmark,Total,62 years,Immigrants from non-western countries,2010Q1,1787
All Denmark,Total,63 years,Immigrants from non-western countries,2010Q1,1613
All Denmark,Total,64 years,Immigrants from non-western countries,2010Q1,1509
All Denmark,Total,65 years,Immigrants from non-western countries,2010Q1,1339
All Denmark,Total,66 years,Immigrants from non-western countries,2010Q1,1236
All Denmark,Total,67 years,Immigrants from non-western countries,2010Q1,1160
All Denmark,Total,68 years,Immigrants from non-western countries,2010Q1,1042
All Denmark,Total,69 years,Immigrants from non-western countries,2010Q1,1050
All Denmark,Total,7 years,Immigrants from non-western countries,2010Q1,505
All Denmark,Total,70 years,Immigrants from non-western countries,2010Q1,929
All Denmark,Total,71 years,Immigrants from non-western countries,2010Q1,831
All Denmark,Total,72 years,Immigrants from non-western countries,2010Q1,749
All Denmark,Total,73 years,Immigrants from non-western countries,2010Q1,681
All Denmark,Total,74 years,Immigrants from non-western countries,2010Q1,693
All Denmark,Total,75 years,Immigrants from non-western countries,2010Q1,543
All Denmark,Total,76 years,Immigrants from non-western countries,2010Q1,537
All Denmark,Total,77 years,Immigrants from non-western countries,2010Q1,524
All Denmark,Total,78 years,Immigrants from non-western countries,2010Q1,444
All Denmark,Total,79 years,Immigrants from non-western countries,2010Q1,472
All Denmark,Total,8 years,Immigrants from non-western countries,2010Q1,586
All Denmark,Total,80 years,Immigrants from non-western countries,2010Q1,347
All Denmark,Total,81 years,Immigrants from non-western countries,2010Q1,314
All Denmark,Total,82 years,Immigrants from non-western countries,2010Q1,279
All Denmark,Total,83 years,Immigrants from non-western countries,2010Q1,194
All Denmark,Total,84 years,Immigrants from non-western countries,2010Q1,218
All Denmark,Total,85 years,Immigrants from non-western countries,2010Q1,148
All Denmark,Total,86 years,Immigrants from non-western countries,2010Q1,126
All Denmark,Total,87 years,Immigrants from non-western countries,2010Q1,106
All Denmark,Total,88 years,Immigrants from non-western countries,2010Q1,83
All Denmark,Total,89 years,Immigrants from non-western countries,2010Q1,82
All Denmark,Total,9 years,Immigrants from non-western countries,2010Q1,811
All Denmark,Total,90 years,Immigrants from non-western countries,2010Q1,34
All Denmark,Total,91 years,Immigrants from non-western countries,2010Q1,30
All Denmark,Total,92 years,Immigrants from non-western countries,2010Q1,31
All Denmark,Total,93 years,Immigrants from non-western countries,2010Q1,21
All Denmark,Total,94 years,Immigrants from non-western countries,2010Q1,22
All Denmark,Total,95 years,Immigrants from non-western countries,2010Q1,17
All Denmark,Total,96 years,Immigrants from non-western countries,2010Q1,12
All Denmark,Total,97 years,Immigrants from non-western countries,2010Q1,6
All Denmark,Total,98 years,Immigrants from non-western countries,2010Q1,5
All Denmark,Total,99 years,Immigrants from non-western countries,2010Q1,4
All Denmark,Total,"Age, total",Immigrants from non-western countries,2010Q1,251318
All Denmark,Total,0 years,Immigrants from non-western countries,2011Q1,121
All Denmark,Total,1 year,Immigrants from non-western countries,2011Q1,315
All Denmark,Total,10 years,Immigrants from non-western countries,2011Q1,875
All Denmark,Total,100 years,Immigrants from non-western countries,2011Q1,3
All Denmark,Total,101 years,Immigrants from non-western countries,2011Q1,1
All Denmark,Total,102 years,Immigrants from non-western countries,2011Q1,1
All Denmark,Total,11 years,Immigrants from non-western countries,2011Q1,1077
All Denmark,Total,12 years,Immigrants from non-western countries,2011Q1,1389
All Denmark,Total,13 years,Immigrants from non-western countries,2011Q1,1621
All Denmark,Total,14 years,Immigrants from non-western countries,2011Q1,1795
All Denmark,Total,15 years,Immigrants from non-western countries,2011Q1,1949
All Denmark,Total,16 years,Immigrants from non-western countries,2011Q1,2238
All Denmark,Total,17 years,Immigrants from non-western countries,2011Q1,2262
All Denmark,Total,18 years,Immigrants from non-western countries,2011Q1,2733
All Denmark,Total,19 years,Immigrants from non-western countries,2011Q1,2969
All Denmark,Total,2 years,Immigrants from non-western countries,2011Q1,475
All Denmark,Total,20 years,Immigrants from non-western countries,2011Q1,3624
All Denmark,Total,21 years,Immigrants from non-western countries,2011Q1,4126
All Denmark,Total,22 years,Immigrants from non-western countries,2011Q1,4704
All Denmark,Total,23 years,Immigrants from non-western countries,2011Q1,5246
All Denmark,Total,24 years,Immigrants from non-western countries,2011Q1,5660
All Denmark,Total,25 years,Immigrants from non-western countries,2011Q1,5939
All Denmark,Total,26 years,Immigrants from non-western countries,2011Q1,6297
All Denmark,Total,27 years,Immigrants from non-western countries,2011Q1,6469
All Denmark,Total,28 years,Immigrants from non-western countries,2011Q1,6565
All Denmark,Total,29 years,Immigrants from non-western countries,2011Q1,6524
All Denmark,Total,3 years,Immigrants from non-western countries,2011Q1,539
All Denmark,Total,30 years,Immigrants from non-western countries,2011Q1,6401
All Denmark,Total,31 years,Immigrants from non-western countries,2011Q1,6111
All Denmark,Total,32 years,Immigrants from non-western countries,2011Q1,6214
All Denmark,Total,33 years,Immigrants from non-western countries,2011Q1,6067
All Denmark,Total,34 years,Immigrants from non-western countries,2011Q1,6052
All Denmark,Total,35 years,Immigrants from non-western countries,2011Q1,6051
All Denmark,Total,36 years,Immigrants from non-western countries,2011Q1,6229
All Denmark,Total,37 years,Immigrants from non-western countries,2011Q1,6054
All Denmark,Total,38 years,Immigrants from non-western countries,2011Q1,6135
All Denmark,Total,39 years,Immigrants from non-western countries,2011Q1,5740
All Denmark,Total,4 years,Immigrants from non-western countries,2011Q1,575
All Denmark,Total,40 years,Immigrants from non-western countries,2011Q1,6613
All Denmark,Total,41 years,Immigrants from non-western countries,2011Q1,6404
All Denmark,Total,42 years,Immigrants from non-western countries,2011Q1,6404
All Denmark,Total,43 years,Immigrants from non-western countries,2011Q1,5962
All Denmark,Total,44 years,Immigrants from non-western countries,2011Q1,6041
All Denmark,Total,45 years,Immigrants from non-western countries,2011Q1,6060
All Denmark,Total,46 years,Immigrants from non-western countries,2011Q1,6002
All Denmark,Total,47 years,Immigrants from non-western countries,2011Q1,5520
All Denmark,Total,48 years,Immigrants from non-western countries,2011Q1,5419
All Denmark,Total,49 years,Immigrants from non-western countries,2011Q1,4803
All Denmark,Total,5 years,Immigrants from non-western countries,2011Q1,608
All Denmark,Total,50 years,Immigrants from non-western countries,2011Q1,4981
All Denmark,Total,51 years,Immigrants from non-western countries,2011Q1,4183
All Denmark,Total,52 years,Immigrants from non-western countries,2011Q1,3945
All Denmark,Total,53 years,Immigrants from non-western countries,2011Q1,3583
All Denmark,Total,54 years,Immigrants from non-western countries,2011Q1,3553
All Denmark,Total,55 years,Immigrants from non-western countries,2011Q1,3254
All Denmark,Total,56 years,Immigrants from non-western countries,2011Q1,2894
All Denmark,Total,57 years,Immigrants from non-western countries,2011Q1,2636
All Denmark,Total,58 years,Immigrants from non-western countries,2011Q1,2511
All Denmark,Total,59 years,Immigrants from non-western countries,2011Q1,2073
All Denmark,Total,6 years,Immigrants from non-western countries,2011Q1,559
All Denmark,Total,60 years,Immigrants from non-western countries,2011Q1,2175
All Denmark,Total,61 years,Immigrants from non-western countries,2011Q1,1969
All Denmark,Total,62 years,Immigrants from non-western countries,2011Q1,1866
All Denmark,Total,63 years,Immigrants from non-western countries,2011Q1,1762
All Denmark,Total,64 years,Immigrants from non-western countries,2011Q1,1586
All Denmark,Total,65 years,Immigrants from non-western countries,2011Q1,1482
All Denmark,Total,66 years,Immigrants from non-western countries,2011Q1,1318
All Denmark,Total,67 years,Immigrants from non-western countries,2011Q1,1203
All Denmark,Total,68 years,Immigrants from non-western countries,2011Q1,1131
All Denmark,Total,69 years,Immigrants from non-western countries,2011Q1,1015
All Denmark,Total,7 years,Immigrants from non-western countries,2011Q1,533
All Denmark,Total,70 years,Immigrants from non-western countries,2011Q1,1031
All Denmark,Total,71 years,Immigrants from non-western countries,2011Q1,897
All Denmark,Total,72 years,Immigrants from non-western countries,2011Q1,811
All Denmark,Total,73 years,Immigrants from non-western countries,2011Q1,731
All Denmark,Total,74 years,Immigrants from non-western countries,2011Q1,651
All Denmark,Total,75 years,Immigrants from non-western countries,2011Q1,649
All Denmark,Total,76 years,Immigrants from non-western countries,2011Q1,521
All Denmark,Total,77 years,Immigrants from non-western countries,2011Q1,501
All Denmark,Total,78 years,Immigrants from non-western countries,2011Q1,482
All Denmark,Total,79 years,Immigrants from non-western countries,2011Q1,414
All Denmark,Total,8 years,Immigrants from non-western countries,2011Q1,587
All Denmark,Total,80 years,Immigrants from non-western countries,2011Q1,440
All Denmark,Total,81 years,Immigrants from non-western countries,2011Q1,321
All Denmark,Total,82 years,Immigrants from non-western countries,2011Q1,286
All Denmark,Total,83 years,Immigrants from non-western countries,2011Q1,259
All Denmark,Total,84 years,Immigrants from non-western countries,2011Q1,178
All Denmark,Total,85 years,Immigrants from non-western countries,2011Q1,206
All Denmark,Total,86 years,Immigrants from non-western countries,2011Q1,133
All Denmark,Total,87 years,Immigrants from non-western countries,2011Q1,114
All Denmark,Total,88 years,Immigrants from non-western countries,2011Q1,92
All Denmark,Total,89 years,Immigrants from non-western countries,2011Q1,75
All Denmark,Total,9 years,Immigrants from non-western countries,2011Q1,649
All Denmark,Total,90 years,Immigrants from non-western countries,2011Q1,63
All Denmark,Total,91 years,Immigrants from non-western countries,2011Q1,28
All Denmark,Total,92 years,Immigrants from non-western countries,2011Q1,23
All Denmark,Total,93 years,Immigrants from non-western countries,2011Q1,29
All Denmark,Total,94 years,Immigrants from non-western countries,2011Q1,18
All Denmark,Total,95 years,Immigrants from non-western countries,2011Q1,18
All Denmark,Total,96 years,Immigrants from non-western countries,2011Q1,12
All Denmark,Total,97 years,Immigrants from non-western countries,2011Q1,5
All Denmark,Total,98 years,Immigrants from non-western countries,2011Q1,3
All Denmark,Total,99 years,Immigrants from non-western countries,2011Q1,3
All Denmark,Total,"Age, total",Immigrants from non-western countries,2011Q1,257424
All Denmark,Total,0 years,Immigrants from non-western countries,2012Q1,99
